nome_istituzione;provincia;tipo;email_istituzionale;pec;sito_web;linkedin;social;numero_telefono
IIS - ENRICO FERMI;Agrigento;statale;agis02400l@istruzione.it;agis02400l@pec.istruzione.it;https://www.iissenricofermi.it/;NON PRESENTE;https://www.facebook.com/iissfermi.edu.it;0922 602498
IIS - FRANCESCO CRISPI;Agrigento;statale;agis021005@istruzione.it;agis021005@pec.istruzione.it;http://www.istitutosuperiorecrispiribera.edu.it/;NON PRESENTE;https://www.facebook.com/people/IIS-Francesco-Crispi-di-Ribera/61550820458936/;0925 61523
IIS - G.B. ODIERNA;Agrigento;statale;agis022001@istruzione.it;agis022001@pec.istruzione.it;http://www.iisodierna.edu.it/;NON PRESENTE;https://www.facebook.com/iisodierna;0922.968004
IIS - GALILEO GALILEI;Agrigento;statale;agis027004@istruzione.it;agis027004@pec.istruzione.it;http://www.galileicanicatti.edu.it/;NON PRESENTE;https://www.facebook.com/iissgalilei;0922 852999
IIS - LUIGI PIRANDELLO;Agrigento;statale;agis01700d@istruzione.it;agis01700d@pec.istruzione.it;https://www.iiss-pirandello-bivona.edu.it/;NON PRESENTE;https://www.facebook.com/pirandelpanepinto/;0922 983223
IIS - N. GALLO - L. SCIASCIA;Agrigento;statale;agis02300r@istruzione.it;agis02300r@pec.istruzione.it;https://www.isgallosciascia.edu.it/;NON PRESENTE;NON PRESENTE;0922604313
IIS - TOMMASO FAZELLO;Agrigento;statale;agis00800p@istruzione.it;agis00800p@pec.istruzione.it;http://iissfazello.edu.it/;NON PRESENTE;https://www.facebook.com/443568352182095/;0925 21642
IIS - UGO FOSCOLO;Agrigento;statale;agis00100x@istruzione.it;agis00100x@pec.istruzione.it;https://www.liceocanicatti.edu.it/;NON PRESENTE;https://www.instagram.com/liceidicanicatti/;0922 851006
LICEO CLASSICO - EMPEDOCLE;Agrigento;statale;agpc010001@istruzione.it;agpc010001@pec.istruzione.it;http://www.liceoempedocle.edu.it/;NON PRESENTE;https://www.facebook.com/liceoclassicomusicaleempedocleagrigento/;0922 20335
LICEO CLASSICO - VINCENZO LINARES;Agrigento;statale;agpc060002@istruzione.it;agpc060002@pec.istruzione.it;http://www.liceolinares.edu.it/;NON PRESENTE;https://www.facebook.com/p/Liceo-Linares-Licata-100076274780064/?locale=it_IT;0922 772266
LICEO SCIENTIFICO - ENRICO FERMI;Agrigento;statale;agps02000p@istruzione.it;agps02000p@pec.istruzione.it;https://www.iissenricofermi.it/;NON PRESENTE;https://www.facebook.com/iissfermi.edu.it/?locale=it_IT;0922602498
LICEO SCIENTIFICO - LEONARDO;Agrigento;statale;agps030009@istruzione.it;agps030009@pec.istruzione.it;https://www.liceoscientificoleonardo.edu.it/;NON PRESENTE;https://www.facebook.com/L.S.L.Leonardo/; 092229990
"CPIA ""CALTANISSETTA-ENNA""";Caltanissetta;statale;clmm04200b@istruzione.it;clmm04200b@pec.istruzione.it;https://cpia-cl-en.edu.it/;NON PRESENTE;https://www.facebook.com/cpiacaltanissettaenna/;0934576492
"I.C. ""A. CAPONNETTO-SCIASCIA""";Caltanissetta;statale;clic821009@istruzione.it;clic821009@pec.istruzione.it;https://www.icscaponnettosciascia.edu.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-Comprensivo-Caponnetto-Sciascia-Caltanissetta-61565696461194/;0934 21404
"I.C. ""DON BOSCO""";Caltanissetta;statale;clic823001@istruzione.it;clic823001@pec.istruzione.it;https://www.icdonboscogela.edu.it/;NON PRESENTE;NON PRESENTE; 0933911598
"I.C. ""DON L. MILANI"" - GELA";Caltanissetta;statale;clic83100x@istruzione.it;clic83100x@pec.istruzione.it;http://icsdonmilanigela.edu.it/;NON PRESENTE;https://www.facebook.com/Donmilanigela/?locale=it_IT;0933 196 5968
"I.C. ""E. ROMAGNOLI-SOLITO""";Caltanissetta;statale;clic83200q@istruzione.it;clic83200q@pec.istruzione.it;https://istitutocomprensivoromagnoligela.edu.it/;NON PRESENTE;NON PRESENTE;0933930934
"I.C. ""F. PUGLISI""";Caltanissetta;statale;clic82000d@istruzione.it;clic82000d@pec.istruzione.it;https://www.comprensivopuglisi.it/;NON PRESENTE;https://www.facebook.com/311327695736710;0934931980
"I.C. ""F.M.L. SALERNO""";Caltanissetta;statale;clic82900x@istruzione.it;clic82900x@pec.istruzione.it;https://www.istitutocomprensivoniscemi.edu.it/;NON PRESENTE;https://www.facebook.com/www.istitutocomprensivoniscemi.gov.it/;0933 954570
"I.C. ""G. CARDUCCI""";Caltanissetta;statale;clic81700n@istruzione.it;clic81700n@pec.istruzione.it;https://www.carduccisancataldo.edu.it/;NON PRESENTE;https://www.facebook.com/823439000856331;0934 586261
"I.C. ""G. VERGA""";Caltanissetta;statale;clic83300g@istruzione.it;clic83300g@pec.istruzione.it;https://www.vergagela.edu.it/;NON PRESENTE;https://www.facebook.com/icvergagela/;0934 20390
"I.C. ""G. VERGA""";Caltanissetta;statale;clic81100p@istruzione.it;clic81100p@pec.istruzione.it;NON PRESENTE;NON PRESENTE;NON PRESENTE;
"I.C. ""GELA-BUTERA""";Caltanissetta;statale;clic82400r@istruzione.it;clic82400r@pec.istruzione.it;https://www.matteigela.edu.it/;NON PRESENTE;https://www.facebook.com/icgelabutera/;0933-1966757
"I.C. ""LOMBARDO RADICE""";Caltanissetta;statale;clic828004@istruzione.it;clic828004@pec.istruzione.it;https://www.lombardoradice.edu.it/;NON PRESENTE;https://www.facebook.com/groups/2009333242645546/?locale=it_IT;0934 591967
"I.C. ""M. L. KING""";Caltanissetta;statale;clic82500l@istruzione.it;clic82500l@pec.istruzione.it;http://www.icking.edu.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-comprensivo-Martin-Luther-King-Caltanissetta-100085404633269/;0934 551048
"I.C. ""S. CATERINA-RESUTTANO""";Caltanissetta;statale;clic807003@istruzione.it;clic807003@pec.istruzione.it;https://icsscr.edu.it/;NON PRESENTE;https://www.facebook.com/santacaterinaresuttano;0934 679657
"I.C. ""S. QUASIMODO""";Caltanissetta;statale;clic81000v@istruzione.it;clic81000v@pec.istruzione.it;https://www.quasimodogela.edu.it/;NON PRESENTE;https://m.facebook.com/100063528491950?locale=lv_LV;0933 823290
"I.C. ""SAN FRANCESCO-CAPUANA""";Caltanissetta;statale;clic827008@istruzione.it;clic827008@pec.istruzione.it;https://www.sanfrancesco-gela.edu.it/;NON PRESENTE;https://www.facebook.com/istitutocomprensivo.sanfrancesco;0933 913030
"I.C. ""V. VENETO""";Caltanissetta;statale;clic822005@istruzione.it;clic822005@pec.istruzione.it;https://www.istitutocomprensivovittorioveneto.edu.it/;NON PRESENTE;https://www.facebook.com/groups/303041009771493/?locale=it_IT;0934 25809
"I.C. ""VALLELUNGA-MARIANOPOLI""";Caltanissetta;statale;clic80400g@istruzione.it;clic80400g@pec.istruzione.it;http://comprensivovallelungamarianopoli.edu.it/;NON PRESENTE;NON PRESENTE;0934 814079
I.C. BALSAMO;Caltanissetta;statale;clic835007@istruzione.it;clic835007@pec.istruzione.it;https://www.icsbalsamo.edu.it/;NON PRESENTE;NON PRESENTE; 0934571232
I.C. G. CARDUCCI;Caltanissetta;statale;clic83400b@istruzione.it;clic83400b@pec.istruzione.it;NON PRESENTE;NON PRESENTE;NON PRESENTE;
"I.I.S. ""A. MANZONI-F. JUVARA """;Caltanissetta;statale;clis01400a@istruzione.it;clis01400a@pec.istruzione.it;http://www.liceimanzonijuvara.edu.it/;NON PRESENTE;https://www.facebook.com/IISSManzoniJuvara;0934 598909
"I.I.S. ""A. VOLTA""";Caltanissetta;statale;clis01900d@istruzione.it;clis01900d@pec.istruzione.it;http://www.liceoscientificovolta.edu.it/;NON PRESENTE;https://www.facebook.com/scientificovoltacaltanissetta/?locale=it_IT;0934 591533
"I.I.S. ""C.M. CARAFA"" - MAZZARINO E RIESI";Caltanissetta;statale;clis007007@istruzione.it;clis007007@pec.istruzione.it;http://www.iisscmcarafa.edu.it/;NON PRESENTE;https://www.facebook.com/IsissCarloMariaCarafaMazzarino/?locale=it_IT;0934 381664
"I.I.S. ""E. MORSELLI - L. STURZO""";Caltanissetta;statale;clis022009@istruzione.it;clis022009@pec.istruzione.it;https://www.morsellisturzo.edu.it/;NON PRESENTE;https://www.facebook.com/morsellisturzogela/; 0933930997
"I.I.S. ""L. DA VINCI""";Caltanissetta;statale;clis002004@istruzione.it;clis002004@pec.istruzione.it;https://www.leonardoniscemi.edu.it/;NON PRESENTE;NON PRESENTE;0933 953082
"I.I.S. ""L. RUSSO""";Caltanissetta;statale;clis01300e@istruzione.it;clis01300e@pec.istruzione.it;http://www.iissrusso.edu.it/;NON PRESENTE;https://www.facebook.com/luigirussocaltanissetta/;0934 554255
"I.I.S. ""S. MOTTURA""";Caltanissetta;statale;clis01200p@istruzione.it;clis01200p@pec.istruzione.it;https://www.istitutomottura.it/;NON PRESENTE;https://www.facebook.com/iissmottura;0934 591280
"I.I.S. ""VIRGILIO""";Caltanissetta;statale;clis008003@istruzione.it;clis008003@pec.istruzione.it;https://www.virgiliomussomeli.edu.it/;NON PRESENTE;https://www.facebook.com/p/IISS-Virgilio-Mussomeli-100064095371716/?locale=it_IT;0934 993967
"I.T.E.T. ""RAPISARDI-DA VINCI""";Caltanissetta;statale;cltd090005@istruzione.it;cltd090005@pec.istruzione.it;http://www.rapisardidavinci.edu.it/;NON PRESENTE;https://www.facebook.com/itetrapisardidavinci;0934 25377
"LICEO CLASS.-LING.-COREUT. ""R. SETTIMO""";Caltanissetta;statale;clpc02000x@istruzione.it;clpc02000x@pec.istruzione.it;https://www.liceorsettimo.edu.it/;NON PRESENTE;https://www.facebook.com/LiceoR.Settimo;0934 21600
"LICEO SCIENT.-LING. ""E. VITTORINI""";Caltanissetta;statale;clps03000n@istruzione.it;clps03000n@pec.istruzione.it;https://www.liceovittorinigela.edu.it/;NON PRESENTE;https://www.facebook.com/p/Liceo-Scientifico-e-Linguistico-Elio-Vittorini-Gela-100057634173289/?locale=it_IT;0933 930594
SUOR TERESA VALSE';Caltanissetta;paritaria;suorteresavalsegela@tin.it;NON PRESENTE;NON PRESENTE;NON PRESENTE;https://www.facebook.com/istitutosuorteresavalse/;0933 339904
"""GIUSEPPE GUZZARDI""";Catania;statale;ctic8a100q@istruzione.it;ctic8a100q@pec.istruzione.it;http://www.scuolaguzzardi.it/;NON PRESENTE;https://www.facebook.com/profile.php?id=61555684092228;095 769 0677
"""ITALO CALVINO""";Catania;statale;ctic89700g@istruzione.it;ctic89700g@pec.istruzione.it;https://www.icscalvino.edu.it/;NON PRESENTE;https://www.facebook.com/calvinoscuolacatania/?locale=it_IT;095336350
C.B.CAVOUR - CATANIA;Catania;statale;ctic8a700p@istruzione.it;ctic8a700p@pec.istruzione.it;https://www.scuolacavourcatania.edu.it/;NON PRESENTE;https://www.facebook.com/p/Scuola-Cavour-Catania-100076154194694/;095 310480
CPIA CATANIA 1;Catania;statale;ctmm150008@istruzione.it;ctmm150008@pec.istruzione.it;https://www.cpiacataniauno.it/;NON PRESENTE;https://www.facebook.com/p/Cpia-Catania-Uno-100012039858801/;0958259050
CPIA CATANIA 2;Catania;statale;ctmm151004@istruzione.it;ctmm151004@pec.istruzione.it;http://cpiacatania2.edu.it/;NON PRESENTE;https://www.facebook.com/CPIACatania2/;095 586 4506
Campus Don Bosco Soc.Coop.;Catania;paritaria;NON PRESENTE;NON PRESENTE;http://campusdonbosco.it/;https://it.linkedin.com/in/donboscocampus;https://www.facebook.com/campusdonbosco.tremestieri;095 337546
Casa dei bambini Maria Montessori;Catania;paritaria;casadeibambinimariam@tiscali.it;NON PRESENTE;http://www.scuolamariamontessorict.com/;NON PRESENTE;https://www.facebook.com/casadeibambinicatania;095 491084
FRANCESCO REDI;Catania;statale;ctis016003@istruzione.it;ctis016003@pec.istruzione.it;http://www.isfrancescoredi.edu.it/;NON PRESENTE;https://www.facebook.com/profile.php?id=100051726322751;095 613 6670
FRANCESCO VENTORINO;Catania;paritaria;presidenza@istitutoventorino.it;fondazione.santorsola@pec.it;http://www.istitutoventorino.it/;https://it.linkedin.com/company/fondazione-francesco-ventorino;https://www.facebook.com/istitutofrancescoventorino;095 310215
GIOVANNI BLANDINI;Catania;statale;ctic8a5003@istruzione.it;ctic8a5003@pec.istruzione.it;http://icblandinipalagonia.it/;NON PRESENTE;https://www.facebook.com/icBlandiniPalagonia/;095 803 3764
GULLI E PENNISI;Catania;statale;ctis044007@istruzione.it;ctis044007@pec.istruzione.it;https://gulliepennisi.edu.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-Superiore-Gulli-e-Pennisi-100036650286377/?locale=it_IT;095.6136068
"I - I.C. ""FABRIZIO DE ANDRE'""";Catania;statale;ctic8ar00a@istruzione.it;ctic8ar00a@pec.istruzione.it;https://www.icdeandreacisantantonio.edu.it/luogo/plesso-s-m-villaggio-costanzo/;NON PRESENTE;https://www.facebook.com/p/IC-F-De-Andr%C3%A9-Aci-SantAntonio-61556451572794/?locale=it_IT;095 7891232
I. C. DE CRUYLLAS - RAMACCA;Catania;statale;ctic89100l@istruzione.it;ctic89100l@pec.istruzione.it;http://icsdecruyllasramacca.it/;NON PRESENTE;https://www.facebook.com/scuolacruyllasramacca/;095 793 0129
"I.C. ""G.FAVA"" MASCALUCIA";Catania;statale;ctic8bc002@istruzione.it;ctic8bc002@pec.istruzione.it;https://www.icgfava.edu.it/;NON PRESENTE;https://www.facebook.com/scuolafavamascalucia;095 727 7486
"I.C. ""SALVO BASSO""";Catania;statale;ctic8ap00p@istruzione.it;ctic8ap00p@pec.istruzione.it;https://icsalvobasso.edu.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-Comprensivo-Salvo-Basso-di-Scordia-100032867451714/?locale=it_IT;095659720
I.C. E. DE AMICIS MIRABELLA I.;Catania;statale;ctic80900q@istruzione.it;ctic80900q@pec.istruzione.it;http://www.icmirabella.edu.it/;NON PRESENTE;NON PRESENTE;0933 991134
I.C. GIOVANNI PAOLO II;Catania;statale;ctic8ba00a@istruzione.it;ctic8ba00a@pec.istruzione.it;https://www.cdgiovannipaolosecondogravinact.edu.it/;NON PRESENTE;https://www.facebook.com/istcompr/?locale=it_IT;095 744 6009
I.C. LEONARDO SCIASCIA;Catania;statale;ctic88800r@istruzione.it;ctic88800r@pec.istruzione.it;https://www.icsciasciamisterbianco.edu.it/;NON PRESENTE;https://www.facebook.com/LeonardoSciasciaMisterbianco;095 755 6969
I.C. P.S. DI GUARDO - QUASIMODO;Catania;statale;ctic8ag00p@istruzione.it;ctic8ag00p@pec.istruzione.it;http://www.diguardoquasimodo.edu.it/;NON PRESENTE;https://www.facebook.com/pages/Istituto-Comprensivo-PS-Di-Guardo-Quasimodo-Catania/626738874037417;095 744 0026
I.C. PITAGORA MISTERBIANCO;Catania;statale;ctic88200t@istruzione.it;ctic88200t@pec.istruzione.it;http://nuke.icspitagora.com/;NON PRESENTE;https://www.facebook.com/scuolapitagoramisterbianco/;095 755 6921
I.C. PIZZIGONI- CARDUCCI;Catania;statale;ctic8a900a@istruzione.it;ctic8a900a@pec.istruzione.it;http://www.icpizzigonicarducci.edu.it/;NON PRESENTE;https://www.facebook.com/profile.php?id=61555725970673;095 448160
I.C. RITA ATRIA;Catania;statale;ctic86700q@istruzione.it;ctic86700q@pec.istruzione.it;https://www.icsritaatria.edu.it/;NON PRESENTE;https://www.facebook.com/groups/156119711124419/;095 340566
I.C. SAURO - GIOVANNI XXIII;Catania;statale;ctic8a800e@istruzione.it;ctic8a800e@pec.istruzione.it;https://www.icsauro-giovannixxiii.edu.it/;NON PRESENTE;NON PRESENTE;095475037
I.C. VERGA FIUMEFREDDO;Catania;statale;ctic82600d@istruzione.it;ctic82600d@pec.istruzione.it;https://www.icvergafiumefreddodisicilia.edu.it/;NON PRESENTE;https://www.facebook.com/IC.GiovanniVerga/?locale=it_IT;095 219 7460
"I.C.""ERCOLE PATTI"" TRECASTAGNI";Catania;statale;ctic857005@istruzione.it;ctic857005@pec.istruzione.it;https://www.icercolepatti.edu.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-Comprensivo-Statale-ad-indirizzo-musicale-Ercole-Patti-100063473112553/?locale=it_IT;0956782434
"I.C.""GIUSEPPE RUSSO""";Catania;statale;ctic8ay00e@istruzione.it;ctic8ay00e@pec.istruzione.it;https://ic-giarre1.edu.it/;NON PRESENTE;https://www.facebook.com/primocomprensivorusso;328 062 0667
"I.I.S. ""C. A. DALLA CHIESA""";Catania;statale;ctis024002@istruzione.it;ctis024002@pec.istruzione.it;https://www.omnicomprensivocaltagironemineo.edu.it/;NON PRESENTE;NON PRESENTE;0956136155
"I.I.S. ""E. FERMI - GUTTUSO""";Catania;statale;ctis03900q@istruzione.it;ctis03900q@pec.istruzione.it;http://www.isfermiguttuso.edu.it/;NON PRESENTE;https://www.facebook.com/itisfermigiarre/;095 613 6555
"I.I.S.LICEO ""C. MARCHESI"" CL./SC.";Catania;statale;ctis02600n@istruzione.it;ctis02600n@pec.istruzione.it;https://www.iismarchesimascalucia.edu.it/;NON PRESENTE;https://www.instagram.com/concetto_marchesi/;095 727 2517
I.P.S.S.E.O.A. KAROL WOJTYLA CATANIA;Catania;statale;ctrh03000c@istruzione.it;ctrh03000c@pec.istruzione.it;https://www.alberghierowojtyla.edu.it/;NON PRESENTE;https://www.facebook.com/ipsseoakarolwojtylacatania/?locale=it_IT;0956132060
"I.R.I.S.S.""FRANCESCA MORVILLO""";Catania;paritaria;NON PRESENTE;NON PRESENTE;https://www.irissmorvillo.it/;NON PRESENTE;https://www.facebook.com/istitutotecnicoregionale;095 613 6810
"I.S. ""MAJORANA-ARCOLEO""";Catania;statale;ctis04900a@istruzione.it;ctis04900a@pec.istruzione.it;http://www.ismajoranarcoleo.edu.it/;NON PRESENTE;https://www.facebook.com/ismajoranarcoleo/;095 613 6180
I.S. AMARI-RIZZO-PANTANO GIARRE-RIPOSTO;Catania;statale;ctis001009@istruzione.it;ctis001009@pec.istruzione.it;https://www.iisamari.edu.it/;NON PRESENTE;https://www.facebook.com/istitutosuperioreamari/?locale=it_IT;0956136480 
I.S. DE FELICE GIUFFRIDA - OLIVETTI;Catania;statale;ctis03400l@istruzione.it;ctis03400l@pec.istruzione.it;http://www.defeliceolivetti.it/;NON PRESENTE;https://www.facebook.com/defelice.ct/;095 613 6270
I.S. ETTORE MAJORANA LICEO SCIENTIFICO;Catania;statale;ctps170002@istruzione.it;ctps170002@pec.istruzione.it;https://www.emajoranaliceo.edu.it/;NON PRESENTE;https://www.facebook.com/liceomajorana;095 613 6760
I.S. G. FERRARIS;Catania;statale;ctis03300r@istruzione.it;ctis03300r@pec.istruzione.it;https://www.iissferraris.edu.it/;NON PRESENTE;https://www.facebook.com/ITIGalileoFerraris/?locale=it_IT;095-6136030
I.S. RAMACCA - PALAGONIA;Catania;statale;ctis04200g@istruzione.it;ctis04200g@pec.istruzione.it;https://www.iisramacca-palagonia.edu.it/;NON PRESENTE;https://www.facebook.com/iisramaccapalagonia/;095 653 3299
I.S.I.S. D. ABRUZZI POLITECNICO DEL MARE;Catania;statale;ctis007008@istruzione.it;ctis007008@pec.istruzione.it;http://www.politecnicodelmare.edu.it/;NON PRESENTE;https://www.facebook.com/politecnicoct;095 613 6225
"I.T.E.""GIOACCHINO RUSSO""";Catania;statale;cttd160007@istruzione.it;cttd160007@pec.istruzione.it;https://www.iterusso.edu.it/;NON PRESENTE;https://www.facebook.com/1359956850686740;095 613 6710
"I.T.E.T. ""ENRICO DE NICOLA""";Catania;statale;cttd22000n@istruzione.it;cttd22000n@pec.istruzione.it;http://www.denicola.edu.it/;NON PRESENTE;https://www.facebook.com/itdenicola;095 229 1205
"IC ""P.CARRERA"" - MILITELLO V.C.";Catania;statale;ctic835008@istruzione.it;ctic835008@pec.istruzione.it;https://www.istitutocarreramilitello.edu.it/;NON PRESENTE;https://www.facebook.com/carreramilitello/;095 613 6585
IC A. BRUNO - BIANCAVILLA;Catania;statale;ctic82000e@istruzione.it;ctic82000e@pec.istruzione.it;https://www.icbrunobiancavilla.edu.it/;NON PRESENTE;https://www.facebook.com/IstitutoComprensivoStataleAntonioBruno/;095 985310
IC A. NARBONE - CALTAGIRONE;Catania;statale;ctic82500n@istruzione.it;ctic82500n@pec.istruzione.it;https://www.alessionarbone.it/;NON PRESENTE;NON PRESENTE; 093321697
IC C.DUSMET - NICOLOSI;Catania;statale;ctic83900g@istruzione.it;ctic83900g@pec.istruzione.it;http://scuoladusmetnicolosi.edu.it/;NON PRESENTE;NON PRESENTE;095 911420
IC CAMPANELLA-STURZO CATANIA;Catania;statale;ctic86300c@istruzione.it;ctic86300c@pec.istruzione.it;http://www.iccampanellasturzo.edu.it/;NON PRESENTE;https://www.facebook.com/p/ICS-Campanella-Sturzo-100057337702859/;095 575046
IC CESARE BATTISTI CATANIA;Catania;statale;ctic8ab00g@istruzione.it;ctic8ab00g@pec.istruzione.it;https://www.battistix.it/;NON PRESENTE;https://www.facebook.com/battistix/?locale=it_IT;095 341340
IC DE AMICIS - DON MILANI;Catania;statale;ctic84700e@istruzione.it;ctic84700e@pec.istruzione.it;http://www.icdeamicisrandazzo.it/;NON PRESENTE;https://www.facebook.com/icdeamicisrandazzo/;095 921225
IC DE AMICIS - MAJORANA;Catania;statale;ctic8bp009@istruzione.it;ctic8bp009@pec.istruzione.it;https://www.icdeamicismajorana.edu.it/;NON PRESENTE;https://www.facebook.com/p/IC-De-Amicis-Majorana-Catania-100087515378256/;095431980
IC DON BOSCO - S.M.LICODIA;Catania;statale;ctic85000a@istruzione.it;ctic85000a@pec.istruzione.it;https://www.icsdonbosco.edu.it/;NON PRESENTE;https://www.facebook.com/p/IC-Don-Bosco-SM-di-Licodia-100076312292883/;095629329
IC F. DE ROBERTO - CATANIA;Catania;statale;ctic887001@istruzione.it;ctic887001@pec.istruzione.it;https://derobertoct.edu.it/;NON PRESENTE;NON PRESENTE;095350144
IC F.DE ROBERTO -ZAFFERANA;Catania;statale;ctic860001@istruzione.it;ctic860001@pec.istruzione.it;https://www.icderobertozafferana.edu.it/;NON PRESENTE;https://www.facebook.com/Istituto-Comprensivo-Federico-De-Roberto-Zafferana-1719876218246210/;0957082022
IC FELTRE - CATANIA;Catania;statale;ctic880006@istruzione.it;ctic880006@pec.istruzione.it;http://www.icfeltre.edu.it/;NON PRESENTE;https://www.facebook.com/p/I-C-Vittorino-da-Feltre-Catania-100092285402432/;095471061
IC FRANCESCO PETRARCA - CATANIA;Catania;statale;ctic87500p@istruzione.it;ctic87500p@pec.istruzione.it;https://www.istitutocomprensivopetrarca.edu.it/;NON PRESENTE;https://www.facebook.com/i.c.f.petrarca.catania/?locale=it_IT;095 714 1765
IC G. FALCONE - ACICASTELLO;Catania;statale;ctic81600v@istruzione.it;ctic81600v@pec.istruzione.it;https://www.icsfalconeacicastello.edu.it/;NON PRESENTE;https://www.facebook.com/p/IC-Falcone-Aci-Castello-100076207736435/; 095274644
IC G. MARCONI - PATERNO';Catania;statale;ctic84200b@istruzione.it;ctic84200b@pec.istruzione.it;https://www.icmarconiscuola.edu.it/;NON PRESENTE;NON PRESENTE;095 622682
IC G. PONTE - PALAGONIA;Catania;statale;ctic84100g@istruzione.it;ctic84100g@pec.istruzione.it;http://www.gponte.it/;NON PRESENTE;https://www.facebook.com/Istituto.Comprensivo.Gaetano.Ponte/;095 795 8706
IC G.MACHERIONE -CALATABIANO;Catania;statale;ctic82100a@istruzione.it;ctic82100a@pec.istruzione.it;https://www.3icgiarre.edu.it/;NON PRESENTE;NON PRESENTE;095-6682377 
IC G.PARINI - CATANIA;Catania;statale;ctic885009@istruzione.it;ctic885009@pec.istruzione.it;https://www.parinict.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-Comprensivo-G-Parini-100057615932715/?locale=it_IT;095 497892 
IC GABELLI MISTERBIANCO;Catania;statale;ctic89000r@istruzione.it;ctic89000r@pec.istruzione.it;https://aristidegabelli.edu.it/;NON PRESENTE;https://www.facebook.com/scuolagabelli;0957556912 
IC GIOVANNI VERGA - VIAGRANDE;Catania;statale;ctic856009@istruzione.it;ctic856009@pec.istruzione.it;https://www.vergaviagrande.edu.it/;NON PRESENTE;https://www.facebook.com/i.c.s.giovanniverga.viagrande/;095 7894373 
IC GUGLIELMINO - ROSSI;Catania;statale;ctic815003@istruzione.it;ctic815003@pec.istruzione.it;https://www.fguglielmino.it/;NON PRESENTE;https://www.facebook.com/icguglielmino/?locale=it_IT;095 801568 
IC L.DA VINCI - MISTERBIANCO;Catania;statale;ctic836004@istruzione.it;ctic836004@pec.istruzione.it;https://www.icleonardodavincimisterbianco.edu.it/;NON PRESENTE;https://www.facebook.com/scuolaleonardodavinci;095 75 56 931 
IC LEONARDO DA VINCI-MASCALUCIA;Catania;statale;ctic8a300b@istruzione.it;ctic8a300b@pec.istruzione.it;https://www.vincimascalucia.edu.it/;NON PRESENTE;https://www.facebook.com/ic2santanastasia/#:~:text=Istituto%20comprensivo%20Leonardo%20da%20Vinci%20(%40ic2santanastasia)%20%E2%80%A2%20Facebook;0957275776 
IC LOMBARDO RADICE - VIRGILIO;Catania;statale;ctic8bk006@istruzione.it;ctic8bk006@pec.istruzione.it;https://www.iclombardoradicevirgilio.edu.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-comprensivo-Lombardo-Radice-Virgilio-di-Patern%C3%B2-61556410701704/;095 858 944 
IC M. MONTESSORI - P.MASCAGNI;Catania;statale;ctic8af00v@istruzione.it;ctic8af00v@pec.istruzione.it;https://www.montessorimascagnict.edu.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-comprensivo-Montessori-Mascagni-Catania-100067927330936/?locale=it_IT;095 201922 
IC MONTESSORI - GOBETTI;Catania;statale;ctic8ax00p@istruzione.it;ctic8ax00p@pec.istruzione.it;https://www.montessorigobetti.edu.it/;NON PRESENTE;https://www.facebook.com/503594496176169/;0933 21205 
IC P. G. M. ALLEGRA-VALVERDE;Catania;statale;ctic85500d@istruzione.it;ctic85500d@pec.istruzione.it;https://www.scuolavalverde.edu.it/;NON PRESENTE;https://www.facebook.com/scuolavalverde/?locale=it_IT;095524077 
IC P. PIO DA PIETRALCINA MISTER;Catania;statale;ctic88900l@istruzione.it;ctic88900l@pec.istruzione.it;https://www.icspadrepio-misterbianco.edu.it/;NON PRESENTE;https://www.facebook.com/icspadrepio/?locale=it_IT;0957556952 
IC PESTALOZZI CATANIA;Catania;statale;ctic86200l@istruzione.it;ctic86200l@pec.istruzione.it;https://www.iopestalozzi.edu.it/;NON PRESENTE;https://www.facebook.com/icpestalozzi/?locale=it_IT#:~:text=Prenotazione%20obbligatoria%3A%20095%207102767%20%7C%20334,i%20dettagli%3A%20https%3A%2F%2Fwww.;095454566 
IC PLUCHINOTTA;Catania;statale;ctic8bl002@istruzione.it;ctic8bl002@pec.istruzione.it;https://www.pluchinotta.edu.it/;NON PRESENTE;https://www.facebook.com/groups/158910787610901/?locale=it_IT;095241747 
IC S. CASELLA PEDARA;Catania;statale;ctic83800q@istruzione.it;ctic83800q@pec.istruzione.it;https://www.icscasellapedara.edu.it/;NON PRESENTE;https://www.facebook.com/casellapedara/?locale=it_IT;095.16961411 
IC S.G. BOSCO - STURZO;Catania;statale;ctic8bf00d@istruzione.it;ctic8bf00d@pec.istruzione.it;https://www.boscosturzo.edu.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-Comprensivo-SG-Bosco-Sturzo-Biancavilla-100075907338732/?locale=it_IT;095 686340 
IC S.G. BOSCO CATANIA;Catania;statale;ctic8ad007@istruzione.it;ctic8ad007@pec.istruzione.it;https://www.sgboscoct.edu.it/;NON PRESENTE;https://www.facebook.com/Istitutosangiovanniboscoct/?locale=it_IT;095/455155 
